k=64
base_size=1.5*k ## ??  # galsim.Image(base_size, base_size)
n=3


m_zero=18.3  # 24
mag=18.3
pixel_scale=wfirst.pixel_scale


{'Y106': 276212.53389330785, 'J129': 282676.7892946346, 'F184': 183466.88869417104, 'H158': 279228.07239874348}



lam, SCA, e1, e2, e, size:  ('J129', 1, 0.027861317619681355, 0.03287345543503761, 0.04309196087142207, 1.7044116258621216)
lam, SCA, e1, e2, e, size:  ('J129', 2, -0.02766968496143818, -0.027481097728013992, 0.038997720423146455, 1.6507214307785034)
lam, SCA, e1, e2, e, size:  ('J129', 3, 0.06733465194702147, 0.07337458431720734, 0.09958807647780678, 1.7317792177200317)
lam, SCA, e1, e2, e, size:  ('J129', 4, 0.04451248422265053, 0.0238924790173769, 0.050519420080475066, 1.693727731704712)
lam, SCA, e1, e2, e, size:  ('J129', 5, -0.020853167399764058, -0.007854018360376356, 0.022283181886968283, 1.6361833810806274)
lam, SCA, e1, e2, e, size:  ('J129', 6, 0.0921158641576767, 0.05490383133292198, 0.107236948504466, 1.7274366617202759)
lam, SCA, e1, e2, e, size:  ('J129', 7, 0.06451700627803802, 0.0038880538195371628, 0.06463405496782648, 1.6771576404571533)
lam, SCA, e1, e2, e, size:  ('J129', 8, 0.003354053944349289, -0.0007789125666022301, 0.0034433098390960837, 1.6187514066696167)
lam, SCA, e1, e2, e, size:  ('J129', 9, 0.1186738163232803, 0.023650288581848138, 0.12100748254028082, 1.7197260856628418)
lam, SCA, e1, e2, e, size:  ('J129', 10, 0.016348600387573242, 0.04434250295162201, 0.04726028250706048, 1.7062848806381226)
lam, SCA, e1, e2, e, size:  ('J129', 11, -0.016377974301576614, -0.033291105180978775, 0.03710169438710442, 1.6536945104599)
lam, SCA, e1, e2, e, size:  ('J129', 12, 0.04633222147822381, 0.09215167164802553, 0.10314361509387139, 1.7329262495040894)
lam, SCA, e1, e2, e, size:  ('J129', 13, 0.0031334618106484417, 0.061844632029533386, 0.06192396219386465, 1.6979707479476929)
lam, SCA, e1, e2, e, size:  ('J129', 14, -0.0030405072029680014, -0.015051504597067835, 0.01535553563659876, 1.6436545848846436)
lam, SCA, e1, e2, e, size:  ('J129', 15, 0.02245340310037136, 0.11482914537191391, 0.11700379454373223, 1.7290011644363403)
lam, SCA, e1, e2, e, size:  ('J129', 16, -0.02010396122932434, 0.07709803432226181, 0.07967607014321701, 1.6795836687088013)
lam, SCA, e1, e2, e, size:  ('J129', 17, -0.007400870323181152, 0.015863889828324318, 0.01750531010938553, 1.6249984502792358)
lam, SCA, e1, e2, e, size:  ('J129', 18, -0.012754497118294237, 0.1325971931219101, 0.13320920696614666, 1.7168927192687988)
lam, SCA, e1, e2, e, size:  ('Y106', 1, 0.03912108018994331, 0.04183328524231909, 0.05727549798468109, 1.6940840482711792)
lam, SCA, e1, e2, e, size:  ('Y106', 2, -0.04397675022482872, -0.04738381505012512, 0.06464658141805672, 1.6171766519546509)
lam, SCA, e1, e2, e, size:  ('Y106', 3, 0.10456991195678711, 0.10982833802700041, 0.15164804753251285, 1.7213140726089478)
lam, SCA, e1, e2, e, size:  ('Y106', 4, 0.0648285150527954, 0.03163062408566474, 0.07213343707324055, 1.6807560920715332)
lam, SCA, e1, e2, e, size:  ('Y106', 5, -0.0330948568880558, -0.015024738386273384, 0.036345733119815475, 1.5964218378067017)
lam, SCA, e1, e2, e, size:  ('Y106', 6, 0.14250807464122772, 0.08265011757612228, 0.16474098844336393, 1.7186943292617798)
lam, SCA, e1, e2, e, size:  ('Y106', 7, 0.09671769291162491, 0.006004855502396822, 0.09690392361381475, 1.6587742567062378)
lam, SCA, e1, e2, e, size:  ('Y106', 8, 0.0042371926829218864, 1.9516644897521477e-05, 0.004237237629828522, 1.5700199604034424)
lam, SCA, e1, e2, e, size:  ('Y106', 9, 0.18281340599060059, 0.037102311849594116, 0.18654040568860328, 1.7137584686279297)
lam, SCA, e1, e2, e, size:  ('Y106', 10, 0.023550044745206836, 0.05958193168044092, 0.06406723960242063, 1.69460928440094)
lam, SCA, e1, e2, e, size:  ('Y106', 11, -0.025855232030153275, -0.05582104250788689, 0.061518142120844145, 1.6190143823623657)
lam, SCA, e1, e2, e, size:  ('Y106', 12, 0.07278816401958466, 0.1390121728181839, 0.1569155856279885, 1.721449613571167)
lam, SCA, e1, e2, e, size:  ('Y106', 13, 0.006049603223800659, 0.09000682085752487, 0.09020989690740143, 1.6809664964675903)
lam, SCA, e1, e2, e, size:  ('Y106', 14, -0.0035799818579107523, -0.025439143180847168, 0.025689808794123265, 1.6011881828308105)
lam, SCA, e1, e2, e, size:  ('Y106', 15, 0.036789800971746445, 0.1753511279821396, 0.17916893575659093, 1.7163950204849243)
lam, SCA, e1, e2, e, size:  ('Y106', 16, -0.02700512856245041, 0.116576686501503, 0.11966369877429073, 1.6542587280273438)
lam, SCA, e1, e2, e, size:  ('Y106', 17, -0.007419466972351073, 0.023725828155875206, 0.024858869882517367, 1.572282075881958)
lam, SCA, e1, e2, e, size:  ('Y106', 18, -0.016372470185160637, 0.20354485511779785, 0.20420226694356086, 1.7020267248153687)
lam, SCA, e1, e2, e, size:  ('H158', 1, 0.016125081107020378, 0.022023895755410194, 0.02729597451920632, 1.8227696418762207)
lam, SCA, e1, e2, e, size:  ('H158', 2, -0.01892291195690632, -0.01644875481724739, 0.025072657058372323, 1.789048194885254)
lam, SCA, e1, e2, e, size:  ('H158', 3, 0.039748672395944595, 0.04611685872077942, 0.06088285157178872, 1.8421735763549805)
lam, SCA, e1, e2, e, size:  ('H158', 4, 0.02571888640522957, 0.01602270640432835, 0.030301621053079108, 1.815422773361206)
lam, SCA, e1, e2, e, size:  ('H158', 5, -0.015314829535782335, -0.004325943998992442, 0.015914075379753916, 1.779543161392212)
lam, SCA, e1, e2, e, size:  ('H158', 6, 0.054244887083768845, 0.034589000046253204, 0.06433433530340184, 1.8383761644363403)
lam, SCA, e1, e2, e, size:  ('H158', 7, 0.03785327821969986, 0.0025880029425024986, 0.037941645077782346, 1.8042668104171753)
lam, SCA, e1, e2, e, size:  ('H158', 8, 5.683026756742038e-05, -0.0005910592153668404, 0.0005937850413928003, 1.7682595252990723)
lam, SCA, e1, e2, e, size:  ('H158', 9, 0.0701063945889473, 0.014662395231425762, 0.07162326714262424, 1.8316776752471924)
lam, SCA, e1, e2, e, size:  ('H158', 10, 0.009290024638175964, 0.028503820300102234, 0.029979531842215894, 1.824436068534851)
lam, SCA, e1, e2, e, size:  ('H158', 11, -0.01130389515310526, -0.02062527090311051, 0.023519775625186003, 1.7915351390838623)
lam, SCA, e1, e2, e, size:  ('H158', 12, 0.027307657524943352, 0.057101551443338394, 0.0632953026435281, 1.843186378479004)
lam, SCA, e1, e2, e, size:  ('H158', 13, 0.0010006094817072153, 0.03801725432276726, 0.038030420002635366, 1.8194574117660522)
lam, SCA, e1, e2, e, size:  ('H158', 14, -0.002900853520259261, -0.010069368407130241, 0.010478889791600691, 1.7857820987701416)
lam, SCA, e1, e2, e, size:  ('H158', 15, 0.012826969847083095, 0.06996054947376254, 0.07112671536159078, 1.8403642177581787)
lam, SCA, e1, e2, e, size:  ('H158', 16, -0.013960256241261957, 0.04690545052289962, 0.04893883982153518, 1.8076566457748413)
lam, SCA, e1, e2, e, size:  ('H158', 17, -0.0062278686091303825, 0.009206432849168777, 0.01111506874557443, 1.77387273311615)
lam, SCA, e1, e2, e, size:  ('H158', 18, -0.008997374214231968, 0.08028768748044968, 0.08079025624237915, 1.8318195343017578)
lam, SCA, e1, e2, e, size:  ('F184', 1, 0.00984877161681652, 0.01576580666005611, 0.01858921628263226, 1.9883264303207397)
lam, SCA, e1, e2, e, size:  ('F184', 2, -0.014805316925048828, -0.011443815194070341, 0.01871251761381061, 1.964067816734314)
lam, SCA, e1, e2, e, size:  ('F184', 3, 0.026156952604651455, 0.032383028417825706, 0.04162747529062614, 2.002643346786499)
